epoch,train_loss,val_f1,model
1,0.57662452453094,0.5777310924369747,TextCNN
2,0.3359366340943032,0.6672678088367899,TextCNN
3,0.18867281067589814,0.708433734939759,TextCNN
4,0.14201429265877963,0.7131086142322097,TextCNN
5,0.1180356135933187,0.69557964970809,TextCNN
1,0.5727420650539597,0.7093889716840537,BiLSTM
2,0.4320829445154879,0.7317473338802297,BiLSTM
3,0.3255213551340303,0.699228791773779,BiLSTM
4,0.250307519593476,0.7301587301587301,BiLSTM
5,0.1760105168086072,0.7211394302848576,BiLSTM
1,0.43661316230659086,0.8117283950617284,Hybrid_SOTA
2,0.3315545491757193,0.8045977011494253,Hybrid_SOTA
3,0.25725140841921584,0.7947327652982185,Hybrid_SOTA
4,0.17928762531093279,0.7975460122699386,Hybrid_SOTA
5,0.12122793338159148,0.7808326787117046,Hybrid_SOTA
6,0.09230014572349128,0.7750188111361926,Hybrid_SOTA
